Position,Company,Description,Loc_state,Loc_city,Skills,Type,Source
Data Science Development Program- Junior Data Scientist,"
MassMutual",NA,Amherst,MA,NA,NA,NA
Entry-Level Cognitive / AI / Machine Learning Software Developer,"
IBM",NA,Austin,TX,NA,NA,NA
PHP/MySQL Programmer,NA,NA,Austin,TX,NA,NA,NA
Python Programmer Job,"
SAIC",NA,Monterey,CA,NA,NA,NA
BI Analyst,NA,NA,San Francisco,CA,NA,NA,NA
L2- Jr. SQL Developer,"
Gartner, Inc.",NA,New York,NY,NA,NA,NA
BI Analyst,NA,NA,San Francisco,CA,NA,NA,NA
Data Engineer,"
Apple",NA,Santa Clara Valley,CA,NA,NA,NA
Supply Chain Data Scientist/Analyst,"
Apple",NA,Santa Clara Valley,CA,NA,NA,NA
Data Insights Analyst (Advanced SQL Needed),"
C.H. Robinson",NA,Eden Prairie,MN,NA,NA,NA
Junior Data Scientist,"
The World Bank",NA,Washington,DC,NA,NA,NA
Junior Data Scientist,"
CGI",NA,Washington,DC,NA,NA,NA
Python Junior Developer,"
Akuna Capital",NA,Chicago,IL,NA,NA,NA
"Jr. Python Developer Washington, DC",NA,NA,Washington,DC,NA,NA,NA
Business Intelligence Analyst,"
Apple",NA,Santa Clara Valley,CA,NA,NA,NA
Senior Data Analyst,"
Intellipro Group Inc.",NA,Mountain View,CA,NA,NA,NA
Python (Django) Web Developer with FoodTech Startup,NA,NA,San Francisco,CA,NA,NA,NA
Business Intelligence Analyst,"
Apple",NA,Santa Clara Valley,CA,NA,NA,NA
Entry Level Python Software Developer,"
Leidos",NA,Baltimore,MD,NA,NA,NA
"Data Scientist/Quantitative Analyst, Engineering, University Graduate","
Google",NA,Mountain View,CA,NA,NA,NA
Data Engineer,"
National Oilwell Varco",NA,Houston,TX,NA,NA,NA
Product Analyst,NA,NA,San Francisco,CA,NA,NA,NA
Machine Learning Engineer Intern (Spring),"
KAYAK",NA,Cambridge,MA,NA,NA,NA
Product Analyst,"
ezCater",NA,Boston,MA,NA,NA,NA
Product Analyst,"
UPC Insurance",NA,Saint Petersburg,FL,NA,NA,NA
Data Analyst,"
Perfect World Entertainment",NA,Redwood City,CA,NA,NA,NA
"Director of Data Engineering - Periscope, New Ventures","
McKinsey & Company",NA,Atlanta,GA,NA,NA,NA
Data Scientist / Data Analyst,NA,NA,Sunnyvale,CA,NA,NA,NA
Data Engineer,"
Bank of America",NA,Charlotte,NC,NA,NA,NA
Data Analyst,"
iCIMS",NA,Holmdel,NJ,NA,NA,NA
BI Analyst,NA,NA,Philadelphia,PA,NA,NA,NA
Data Analyst / Data Scientist,NA,NA,New York,NY,NA,NA,NA
Data Analyst,"
Pattern Energy",NA,Houston,TX,NA,NA,NA
"Data Scientist/Quantitative Analyst, Engineering, University Graduate","
Google",NA,Mountain View,CA,NA,NA,NA
Machine Learning Intern (Summer 2018),"
Philips Lighting",NA,Cambridge,MA,NA,NA,NA
BI Analyst,NA,NA,New York,NY,NA,NA,NA
L2- Jr. SQL Developer,"
Gartner, Inc.",NA,New York,NY,NA,NA,NA
Senior Big Data Engineer,"
Sumeru Solutions",NA,Reston,VA,NA,NA,NA
Data Analyst,"
Morgan Stanley",NA,New York,NY,NA,NA,NA
"2018 Summer Data Science Intern - Mountain View, CA",NA,NA,Mountain View,CA,NA,NA,NA
Senior Data Scientist: Health Outcomes,"
Cigna",NA,Raleigh,NC,NA,NA,NA
Spark Developer with Python/Machine Learning,"
Intellisoft Technologies",NA,San Antonio,TX,NA,NA,NA
Statistician,"
Microsoft",NA,Redmond,WA,NA,NA,NA
Software Engineering and Data Analytics Intern (Summer 2018),"
Philips Lighting",NA,Cambridge,MA,NA,NA,NA
Machine Learning Researcher Intern,"
Amazon.com",NA,Seattle,WA,NA,NA,NA
Python Developer,"
Booz Allen Hamilton",NA,Herndon,VA,NA,NA,NA
Product Analyst,"
ezCater",NA,Boston,MA,NA,NA,NA
"Data Engineer, Junior","
Booz Allen Hamilton",NA,Herndon,VA,NA,NA,NA
Data Analyst - Entry Level,"
Auto-Owners Insurance",NA,Lansing,MI,NA,NA,NA
"Data Scientist/Quantitative Analyst, Engineering, University Graduate","
Google",NA,Mountain View,CA,NA,NA,NA
Business Intelligence Analyst,"
adMarketplace",NA,New York,NY,NA,NA,NA
Business Intelligence Analyst,"
DBRS",NA,New York,NY,NA,NA,NA
Data Science Intern (Summer 2018),"
Philips Lighting",NA,Cambridge,MA,NA,NA,NA
Data Analyst,"
CGI",NA,Washington,DC,NA,NA,NA
Product Analyst,"
Lending Club",NA,San Francisco,CA,NA,NA,NA
Data Scientist,"
C.H. Robinson",NA,Eden Prairie,MN,NA,NA,NA
Product Analyst,"
Safe Auto Insurance Company",NA,Columbus,OH,NA,NA,NA
"Data Analyst, Junior","
Booz Allen Hamilton",NA,Herndon,VA,NA,NA,NA
Data Analyst,"
Corning",NA,Painted Post,NY,NA,NA,NA
Data Science Intern,"
Intel",NA,Phoenix,AZ,NA,NA,NA
Data Engineer,"
NAMCO BANDAI",NA,Santa Clara,CA,NA,NA,NA
Data Engineer,"
Intellipro Group Inc.",NA,Santa Clara,CA,NA,NA,NA
Data Engineer,"
Walmart eCommerce",NA,Sunnyvale,CA,NA,NA,NA
Data Analyst,"
GoHealth",NA,Chicago,IL,NA,NA,NA
Product Data Analyst,"
Hulu",NA,Seattle,WA,NA,NA,NA
2018 GDI&A Entry Level Data Scientist / Analyst,"
Ford Motor Company",NA,Dearborn,MI,NA,NA,NA
Jr Data Modeler/ETL Developer,"
Leidos",NA,Bethesda,MD,NA,NA,NA
Data Engineer,NA,NA,Mountain View,CA,NA,NA,NA
Data Engineer,"
BMW North America",NA,Mountain View,CA,NA,NA,NA
Data Engineer,NA,NA,Mountain View,CA,NA,NA,NA
Data Engineer,NA,NA,Mountain View,CA,NA,NA,NA
Data Engineer,NA,NA,Palo Alto,CA,NA,NA,NA
"Payments Business Intelligence, App Store Analytics","
Apple",NA,Santa Clara Valley,CA,NA,NA,NA
Data Engineer,"
National Oilwell Varco",NA,Houston,TX,NA,NA,NA
Business Intelligence Analyst,"
Favor",NA,Austin,TX,NA,NA,NA
Jr. Data Engineer,NA,NA,Chicago,IL,NA,NA,NA
Business Intelligence Analyst,"
Comcast",NA,New York,NY,NA,NA,NA
Product Analyst,NA,NA,San Francisco,CA,NA,NA,NA
Business Intelligence Analyst,"
etouch systems",NA,Fremont,CA,NA,NA,NA
Machine Learning Engineer - Intern,"
FactSet Research Systems",NA,New York,NY,NA,NA,NA
Data Analyst,"
Cisco",NA,San Jose,CA,NA,NA,NA
Data Scientist / Data Analyst,"
Hyperloop One",NA,Los Angeles,CA,NA,NA,NA
Business Intelligence Analyst,"
Stanford University",NA,Stanford,CA,NA,NA,NA
Machine Learning Engineer,NA,NA,Chicago,IL,NA,NA,NA
"Research Scientist, Machine Learning / Artificial Intelligence","
Disney Parks & Resorts",NA,Glendale,CA,NA,NA,NA
Machine Learning Engineer (REF 20170417JK),NA,NA,Palo Alto,CA,NA,NA,NA
Artificial Intelligence & Data Scientist,"
Twentieth Century Fox",NA,Los Angeles,CA,NA,NA,NA
Business Intelligence Analyst,"
Stanford University",NA,Stanford,CA,NA,NA,NA
Data Analyst,"
Cisco",NA,San Jose,CA,NA,NA,NA
Machine Learning Engineer - Intern,"
FactSet Research Systems",NA,New York,NY,NA,NA,NA
Product Analyst,NA,NA,San Francisco,CA,NA,NA,NA
"Statistician/Data Scientist - Junior, Mid & Senior","
OGSystems",NA,Springfield,VA,NA,NA,NA
Data Scientist / Data Analyst,"
Hyperloop One",NA,Los Angeles,CA,NA,NA,NA
"Learning Scientist/Data Analyst, Facebook Blueprint","
Facebook",NA,Menlo Park,CA,NA,NA,NA
"Learning Scientist/Data Analyst, Facebook Blueprint","
Facebook",NA,Menlo Park,CA,NA,NA,NA
Product Analyst,"
Tempus",NA,Chicago,IL,NA,NA,NA
Business Intelligence Analyst,"
Fareportal Inc.",NA,New York,NY,NA,NA,NA
Business Intelligence Analyst,"
CBS Interactive",NA,New York,NY,NA,NA,NA
Data Engineer,NA,NA,Reston,VA,NA,NA,NA
Data Engineer,NA,NA,Reston,VA,NA,NA,NA
"Payments Business Intelligence, App Store Analytics","
Apple",NA,Santa Clara Valley,CA,NA,NA,NA
"Python / Perl Developer (at Washington, DC)","
Leidos",NA,Washington,DC,NA,NA,NA
Business Intelligence Analyst,NA,NA,Minneapolis,MN,NA,NA,NA
Junior Data Scientist,"
Realogy Corporate",NA,Emeryville,CA,NA,NA,NA
Machine Learning / Artificial Intelligence Scientist,"
Ford Motor Company",NA,Palo Alto,CA,NA,NA,NA
